date,window_start,window_end,n_obs_window,realized_return,realized_loss,historical_var,parametric_var,monte_carlo_var,historical_es,parametric_es,monte_carlo_es,monte_carlo_seed,expected_tail_observations,sparse_tail,historical_exception,parametric_exception,monte_carlo_exception
2016-05-31,2015-06-03,2016-05-27,250,-0.0019044666775451923,1904.4666775451924,27908.426194944906,24453.645006532955,24289.633311108217,34628.674572869495,28024.881006209256,27887.961455155535,1736115,2.5,True,False,False,False
2016-06-01,2015-06-04,2016-05-31,250,0.002047241419467854,-2047.241419467854,27908.426194944906,24470.569480524697,24611.336614312393,34628.674572869495,28041.619392074303,28170.598354070797,1736116,2.5,True,False,False,False
2016-06-02,2015-06-05,2016-06-01,250,0.0030389325406750163,-3038.9325406750163,27908.426194944906,24397.774223806926,24502.468126163116,34628.674572869495,27964.35583852742,28054.76061854737,1736117,2.5,True,False,False,False
2016-06-03,2015-06-08,2016-06-02,250,-0.0029914599476112873,2991.459947611287,27908.426194944906,24381.147515199966,24385.624636981574,34628.674572869495,27948.076763616093,27863.617677034268,1736118,2.5,True,False,False,False
2016-06-06,2015-06-09,2016-06-03,250,0.005075387176978704,-5075.387176978704,27908.426194944906,24355.200480213436,24312.970209706036,34628.674572869495,27920.201479025745,27847.811615915347,1736121,2.5,True,False,False,False
2016-06-07,2015-06-10,2016-06-06,250,0.001560313620096471,-1560.313620096471,27908.426194944906,24345.15020480407,24256.702406413748,34628.674572869495,27911.72834058843,28091.231147497645,1736122,2.5,True,False,False,False
2016-06-08,2015-06-11,2016-06-07,250,0.003254280240903428,-3254.280240903428,27908.426194944906,24325.61317692784,24120.527542078155,34628.674572869495,27883.308246740286,27674.798634232808,1736123,2.5,True,False,False,False
2016-06-09,2015-06-12,2016-06-08,250,-0.0013662672470131421,1366.2672470131422,27908.426194944906,24325.570341975024,24349.618156291737,34628.674572869495,27883.279843702512,27831.443457274385,1736124,2.5,True,False,False,False
2016-06-10,2015-06-15,2016-06-09,250,-0.009522572615633825,9522.572615633826,27908.426194944906,24274.213920269085,24154.728442678486,34628.674572869495,27828.124046041692,27853.065645812687,1736125,2.5,True,False,False,False
2016-06-13,2015-06-16,2016-06-10,250,-0.007741788047670714,7741.788047670714,27908.426194944906,24327.8044105498,24597.865461022462,34628.674572869495,27886.47479636009,27999.55274411614,1736128,2.5,True,False,False,False
